unit_id,trip_id,origin,destination,departure_time,arrival_time
U001,T010,S8,S2,06:45,07:35
U001,T057,S2,S7,08:51,09:51
U001,T020,S1,S6,11:24,12:27
U001,T036,S6,S1,18:36,19:38
U001,T031,S4,S1,22:05,22:51
U002,T018,S8,S4,04:25,05:45
U002,T004,S7,S4,09:32,10:07
U002,T001,S2,S4,13:34,14:43
U002,T035,S8,S5,16:21,18:06
U003,T047,S7,S1,05:17,06:26
U003,T052,S6,S1,07:47,08:49
U003,T006,S1,S3,10:09,11:06
U003,T034,S3,S8,13:44,14:25
U004,T049,S3,S8,06:48,07:29
U004,T019,S6,S3,11:17,11:44
U005,T025,S5,S4,06:48,07:12
U005,T058,S8,S4,09:30,10:50
U005,T042,S5,S8,18:41,20:02
U006,T012,S8,S6,07:57,08:29
U006,T030,S6,S1,20:06,21:08
U007,T032,S8,S3,06:34,07:05
U007,T045,S2,S4,08:49,09:58
U008,T060,S1,S8,06:04,07:56
U008,T056,S5,S6,13:36,14:41
U008,T042,S5,S8,18:41,20:02
U008,T044,S3,S1,22:46,23:44
U009,T048,S3,S5,07:44,09:17
U009,T054,S7,S5,20:09,20:41
U010,T026,S2,S1,09:26,10:35
U011,T048,S3,S5,07:44,09:17
U011,T002,S7,S2,14:34,15:40
U011,T022,S1,S8,21:23,23:15
U012,T016,S7,S2,05:46,06:52
U012,T045,S2,S4,08:49,09:58
U012,T003,S6,S3,10:27,10:54
U012,T059,S1,S3,14:12,15:09
U012,T029,S3,S2,19:40,20:13
U012,T009,S3,S1,21:51,22:49
U013,T053,S1,S6,15:31,16:34
U013,T030,S6,S1,20:06,21:08
U014,T041,S2,S4,14:21,15:30
U015,T018,S8,S4,04:25,05:45
U015,T050,S5,S7,07:02,07:40
U015,T043,S4,S3,11:17,12:16
U015,T046,S2,S8,20:23,21:25
U016,T039,S5,S7,04:20,04:58
U016,T050,S5,S7,07:02,07:40
U016,T004,S7,S4,09:32,10:07
U016,T055,S7,S5,21:03,21:35
U017,T060,S1,S8,06:04,07:56
U017,T026,S2,S1,09:26,10:35
U017,T054,S7,S5,20:09,20:41
U018,T058,S8,S4,09:30,10:50
U018,T038,S7,S6,12:25,12:54
U018,T037,S8,S1,15:37,17:04
U018,T008,S5,S6,22:18,23:23
U019,T012,S8,S6,07:57,08:29
U019,T019,S6,S3,11:17,11:44
U019,T035,S8,S5,16:21,18:06
U020,T027,S1,S6,06:22,07:25
U020,T040,S1,S3,08:53,09:50
U020,T023,S2,S6,15:41,16:30
U020,T017,S8,S6,21:25,21:57
U021,T051,S2,S5,06:15,07:46
U021,T007,S6,S5,09:29,10:43
U021,T028,S4,S8,18:56,20:04
U022,T014,S2,S8,07:31,08:33
U022,T021,S1,S8,08:41,10:33
U022,T015,S1,S4,12:29,13:09
U022,T005,S7,S3,21:28,22:07
U023,T013,S5,S3,14:02,15:30
U023,T008,S5,S6,22:18,23:23
U024,T024,S1,S7,09:28,10:41
U024,T011,S3,S4,20:10,21:14
U024,T033,S6,S4,22:38,23:38
